confidence,source_a,title_a,company_a,tech_a,url_a,source_b,title_b,company_b,tech_b,url_b
low,"LinkedIn","rendszerszervezo","otp bank magyarorszag","swift; sql; kafka; rest api; uml; bpmn","https://hu.linkedin.com/jobs/view/rendszerszervez%C5%91-at-otp-bank-magyarorsz%C3%A1g-4452583626?position=29&pageNum=0&refId=kal7Eu0UIW%2BxSbtQ8MTT0Q%3D%3D&trackingId=l6LIotWzqOwPvHWhAc9ENQ%3D%3D","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"AI-scraped","Business Analyst","AAM Consulting","pl/sql","https://aam.hu/jobs/business-analyst","mbh","Business analyst","","jira; confluence; visio; agile; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/21525/business-analyst/it"
low,"AI-scraped","Business Analyst","Innoview","temenos; uat","https://innoview.hu/en/allas/business-analyst/","mbh","Business analyst","","jira; confluence; visio; agile; english","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/21525/business-analyst/it"
low,"AI-scraped","Alkalmazás üzemeltető","EuroMACC Kft.","sql","https://euromacc.hu/alkalmazas-uzemelteto/","otp","Alkalmazás üzemeltető","","python; oracle; azure; kubernetes; openshift; linux; unix; jenkins; grafana; kafka; azure devops; argocd; vmware; devops; english","https://karrier.otpbank.hu/otp/job/Budapest-Alkalmaz%C3%A1s-%C3%BCzemeltet%C5%91-1131/1408163733/"
low,"profession-intern","Rendszerszervező","MBH Bank Nyrt.","sql; jira; excel; hungarian; english","https://www.profession.hu/allas/rendszerszervezo-mbh-bank-nyrt-2981084","mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it"
low,"mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it","mbh","Rendszerszervező","","sql; graphql; linux; xml; uml; jira; confluence; windows","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22096/rendszerszervezo/it"
low,"mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it","mbh","Rendszerszervező","","graphql; postgresql; oracle; uml; jira; confluence","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22094/rendszerszervezo/it"
low,"mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it","profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; aws; docker; kubernetes; github; ci/cd; rest api; scrum; devops; soap; agile","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2987145"
low,"mbh","Rendszerszervező","","etl; elt; uat","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22111/rendszerszervezo/it","cg-jobstream","Rendszerszervező","","sql","https://careers.capgemini.com/job/Budapest-Rendszerszervez%C5%91/1200115701/?feedId=388633&tcsource=apply"
low,"mbh","Rendszerszervező","","sql; graphql; linux; xml; uml; jira; confluence; windows","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22096/rendszerszervezo/it","profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; aws; docker; kubernetes; github; ci/cd; rest api; scrum; devops; soap; agile","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2987145"
low,"mbh","Rendszerszervező","","graphql; postgresql; oracle; uml; jira; confluence","https://karrier.mbhbank.hu/Datacenter/Registration/JobAdvertisement/22094/rendszerszervezo/it","cg-jobstream","Rendszerszervező","","sql","https://careers.capgemini.com/job/Budapest-Rendszerszervez%C5%91/1200115701/?feedId=388633&tcsource=apply"
low,"profession-intern","Rendszerszervező","Pont Systems Zrt.","postgresql; oracle; aws; docker; kubernetes; github; ci/cd; rest api; scrum; devops; soap; agile","https://www.profession.hu/allas/rendszerszervezo-pont-systems-zrt-2987145","cg-jobstream","Rendszerszervező","","sql","https://careers.capgemini.com/job/Budapest-Rendszerszervez%C5%91/1200115701/?feedId=388633&tcsource=apply"
